Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Kazakhstan,2013,5-9,1455287,745143,710144,8.2,8.8,7.7,104.9
"Custom Region",Kazakhstan,2013,10-14,1181152,604196,576956,6.7,7.1,6.2,104.7
"Custom Region",Kazakhstan,2013,15-19,1360797,695028,665769,7.7,8.2,7.2,104.4
"Custom Region",Kazakhstan,2013,20-24,1641042,830823,810219,9.3,9.8,8.8,102.5
"Custom Region",Kazakhstan,2013,25-29,1641762,823436,818326,9.3,9.7,8.9,100.6
"Custom Region",Kazakhstan,2013,30-34,1360984,686846,674138,7.7,8.1,7.3,101.9
"Custom Region",Kazakhstan,2013,35-39,1217405,584670,632735,6.9,6.9,6.8,92.4
"Custom Region",Kazakhstan,2013,40-44,1152696,560399,592297,6.5,6.6,6.4,94.6
"Custom Region",Kazakhstan,2013,45-49,1047618,496211,551407,5.9,5.8,6.0,90.0
"Custom Region",Kazakhstan,2013,50-54,1127796,515379,612417,6.4,6.1,6.6,84.2
"Custom Region",Kazakhstan,2013,55-59,900198,401229,498969,5.1,4.7,5.4,80.4
"Custom Region",Kazakhstan,2013,60-64,685617,290024,395593,3.9,3.4,4.3,73.3
"Custom Region",Kazakhstan,2013,65-69,298467,120017,178450,1.7,1.4,1.9,67.3
"Custom Region",Kazakhstan,2013,70-74,425605,158727,266878,2.4,1.9,2.9,59.5
"Custom Region",Kazakhstan,2013,75-79,263292,88748,174544,1.5,1.0,1.9,50.8
"Custom Region",Kazakhstan,2013,80-84,145526,38820,106706,0.8,0.5,1.2,36.4
"Custom Region",Kazakhstan,2013,85-89,63324,8913,54411,0.4,0.1,0.6,16.4
"Custom Region",Kazakhstan,2013,90-94,12389,620,11769,0.1,0.0,0.1,5.3
"Custom Region",Kazakhstan,2013,95-99,3218,54,3164,0.0,0.0,0.0,1.7
"Custom Region",Kazakhstan,2013,100+,633,4,629,0.0,0.0,0.0,0.6
"Custom Region",Kazakhstan,2014,Total,17948816,8591649,9357167,100.0,100.0,100.0,91.8
"Custom Region",Kazakhstan,2014,0-4,1747850,842907,904943,9.7,9.8,9.7,93.1
"Custom Region",Kazakhstan,2014,5-9,1546316,786469,759847,8.6,9.2,8.1,103.5
"Custom Region",Kazakhstan,2014,10-14,1208206,618252,589954,6.7,7.2,6.3,104.8
"Custom Region",Kazakhstan,2014,15-19,1289147,658119,631028,7.2,7.7,6.7,104.3
"Custom Region",Kazakhstan,2014,20-24,1598303,811156,787147,8.9,9.4,8.4,103.1
"Custom Region",Kazakhstan,2014,25-29,1680985,843214,837771,9.4,9.8,9.0,100.6
"Custom Region",Kazakhstan,2014,30-34,1406856,706119,700737,7.8,8.2,7.5,100.8
"Custom Region",Kazakhstan,2014,35-39,1229255,600818,628437,6.8,7.0,6.7,95.6
"Custom Region",Kazakhstan,2014,40-44,1170598,560202,610396,6.5,6.5,6.5,91.8
"Custom Region",Kazakhstan,2014,45-49,1039828,498676,541152,5.8,5.8,5.8,92.2
"Custom Region",Kazakhstan,2014,50-54,1120602,511469,609133,6.2,6.0,6.5,84.0
"Custom Region",Kazakhstan,2014,55-59,944486,420984,523502,5.3,4.9,5.6,80.4
"Custom Region",Kazakhstan,2014,60-64,715613,303699,411914,4.0,3.5,4.4,73.7
"Custom Region",Kazakhstan,2014,65-69,365844,146153,219691,2.0,1.7,2.3,66.5
"Custom Region",Kazakhstan,2014,70-74,354935,131807,223128,2.0,1.5,2.4,59.1
"Custom Region",Kazakhstan,2014,75-79,310070,105104,204966,1.7,1.2,2.2,51.3
"Custom Region",Kazakhstan,2014,80-84,128104,34667,93437,0.7,0.4,1.0,37.1
"Custom Region",Kazakhstan,2014,85-89,73466,11043,62423,0.4,0.1,0.7,17.7
"Custom Region",Kazakhstan,2014,90-94,14298,727,13571,0.1,0.0,0.1,5.4
"Custom Region",Kazakhstan,2014,95-99,3371,61,3310,0.0,0.0,0.0,1.8
"Custom Region",Kazakhstan,2014,100+,683,3,680,0.0,0.0,0.0,0.4
"Custom Region",Kazakhstan,2015,Total,18157122,8682143,9474979,100.0,100.0,100.0,91.6
"Custom Region",Kazakhstan,2015,0-4,1738880,838656,900224,9.6,9.7,9.5,93.2
"Custom Region",Kazakhstan,2015,5-9,1625579,816469,809110,9.0,9.4,8.5,100.9
"Custom Region",Kazakhstan,2015,10-14,1249287,639388,609899,6.9,7.4,6.4,104.8
"Custom Region",Kazakhstan,2015,15-19,1226599,625984,600615,6.8,7.2,6.3,104.2
"Custom Region",Kazakhstan,2015,20-24,1557400,791360,766040,8.6,9.1,8.1,103.3
"Custom Region",Kazakhstan,2015,25-29,1687824,847102,840722,9.3,9.8,8.9,100.8
"Custom Region",Kazakhstan,2015,30-34,1465382,733800,731582,8.1,8.5,7.7,100.3
"Custom Region",Kazakhstan,2015,35-39,1248891,618760,630131,6.9,7.1,6.7,98.2
"Custom Region",Kazakhstan,2015,40-44,1182394,552579,629815,6.5,6.4,6.6,87.7
"Custom Region",Kazakhstan,2015,45-49,1044585,511411,533174,5.8,5.9,5.6,95.9
"Custom Region",Kazakhstan,2015,50-54,1104530,504766,599764,6.1,5.8,6.3,84.2
"Custom Region",Kazakhstan,2015,55-59,979663,436440,543223,5.4,5.0,5.7,80.3
"Custom Region",Kazakhstan,2015,60-64,743917,316571,427346,4.1,3.6,4.5,74.1
"Custom Region",Kazakhstan,2015,65-69,450105,179380,270725,2.5,2.1,2.9,66.3
"Custom Region",Kazakhstan,2015,70-74,285012,105850,179162,1.6,1.2,1.9,59.1
"Custom Region",Kazakhstan,2015,75-79,347151,117256,229895,1.9,1.4,2.4,51.0
"Custom Region",Kazakhstan,2015,80-84,120859,33079,87780,0.7,0.4,0.9,37.7
"Custom Region",Kazakhstan,2015,85-89,77422,12290,65132,0.4,0.1,0.7,18.9
"Custom Region",Kazakhstan,2015,90-94,17653,941,16712,0.1,0.0,0.2,5.6
"Custom Region",Kazakhstan,2015,95-99,3197,56,3141,0.0,0.0,0.0,1.8
"Custom Region",Kazakhstan,2015,100+,792,5,787,0.0,0.0,0.0,0.6
"Custom Region",Kazakhstan,2016,Total,18360353,8770261,9590092,100.0,100.0,100.0,91.5
"Custom Region",Kazakhstan,2016,0-4,1725277,832113,893164,9.4,9.5,9.3,93.2
"Custom Region",Kazakhstan,2016,5-9,1690957,839473,851484,9.2,9.6,8.9,98.6
"Custom Region",Kazakhstan,2016,10-14,1298979,664858,634121,7.1,7.6,6.6,104.8
"Custom Region",Kazakhstan,2016,15-19,1191663,608288,583375,6.5,6.9,6.1,104.3
"Custom Region",Kazakhstan,2016,20-24,1499408,762845,736563,8.2,8.7,7.7,103.6
"Custom Region",Kazakhstan,2016,25-29,1688212,848395,839817,9.2,9.7,8.8,101.0
"Custom Region",Kazakhstan,2016,30-34,1518530,758531,759999,8.3,8.6,7.9,99.8
"Custom Region",Kazakhstan,2016,35-39,1269445,635049,634396,6.9,7.2,6.6,100.1
"Custom Region",Kazakhstan,2016,40-44,1192396,549859,642537,6.5,6.3,6.7,85.6
"Custom Region",Kazakhstan,2016,45-49,1065604,526500,539104,5.8,6.0,5.6,97.7
"Custom Region",Kazakhstan,2016,50-54,1068758,489830,578928,5.8,5.6,6.0,84.6
"Custom Region",Kazakhstan,2016,55-59,1021218,455073,566145,5.6,5.2,5.9,80.4
"Custom Region",Kazakhstan,2016,60-64,771752,328962,442790,4.2,3.8,4.6,74.3
"Custom Region",Kazakhstan,2016,65-69,528333,210746,317587,2.9,2.4,3.3,66.4
"Custom Region",Kazakhstan,2016,70-74,233389,87103,146286,1.3,1.0,1.5,59.5
"Custom Region",Kazakhstan,2016,75-79,365490,123219,242271,2.0,1.4,2.5,50.9
"Custom Region",Kazakhstan,2016,80-84,125562,34851,90711,0.7,0.4,0.9,38.4
"Custom Region",Kazakhstan,2016,85-89,80547,13343,67204,0.4,0.2,0.7,19.9
"Custom Region",Kazakhstan,2016,90-94,20694,1158,19536,0.1,0.0,0.2,5.9
"Custom Region",Kazakhstan,2016,95-99,3356,61,3295,0.0,0.0,0.0,1.9
"Custom Region",Kazakhstan,2016,100+,783,4,779,0.0,0.0,0.0,0.5
"Custom Region",Kazakhstan,2017,Total,18556698,8855168,9701530,100.0,100.0,100.0,91.3
"Custom Region",Kazakhstan,2017,0-4,1707021,823329,883692,9.2,9.3,9.1,93.2
"Custom Region",Kazakhstan,2017,5-9,1734337,851271,883066,9.3,9.6,9.1,96.4
"Custom Region",Kazakhstan,2017,10-14,1367281,699827,667454,7.4,7.9,6.9,104.9
"Custom Region",Kazakhstan,2017,15-19,1178511,601863,576648,6.4,6.8,5.9,104.4
"Custom Region",Kazakhstan,2017,20-24,1428480,727513,700967,7.7,8.2,7.2,103.8
"Custom Region",Kazakhstan,2017,25-29,1667176,838816,828360,9.0,9.5,8.5,101.3
"Custom Region",Kazakhstan,2017,30-34,1579130,787569,791561,8.5,8.9,8.2,99.5
"Custom Region",Kazakhstan,2017,35-39,1295570,650267,645303,7.0,7.3,6.7,100.8
"Custom Region",Kazakhstan,2017,40-44,1202283,561500,640783,6.5,6.3,6.6,87.6
"Custom Region",Kazakhstan,2017,45-49,1087752,530177,557575,5.9,6.0,5.7,95.1
"Custom Region",Kazakhstan,2017,50-54,1039423,478953,560470,5.6,5.4,5.8,85.5
"Custom Region",Kazakhstan,2017,55-59,1055662,470637,585025,5.7,5.3,6.0,80.4
"Custom Region",Kazakhstan,2017,60-64,795274,339382,455892,4.3,3.8,4.7,74.4
"Custom Region",Kazakhstan,2017,65-69,578384,231529,346855,3.1,2.6,3.6,66.8
"Custom Region",Kazakhstan,2017,70-74,226105,84473,141632,1.2,1.0,1.5,59.6
"Custom Region",Kazakhstan,2017,75-79,360265,121948,238317,1.9,1.4,2.5,51.2
"Custom Region",Kazakhstan,2017,80-84,149401,41713,107688,0.8,0.5,1.1,38.7
"Custom Region",Kazakhstan,2017,85-89,75766,12829,62937,0.4,0.1,0.6,20.4
"Custom Region",Kazakhstan,2017,90-94,24662,1503,23159,0.1,0.0,0.2,6.5
"Custom Region",Kazakhstan,2017,95-99,3453,65,3388,0.0,0.0,0.0,1.9
"Custom Region",Kazakhstan,2017,100+,762,4,758,0.0,0.0,0.0,0.5
"Custom Region",Kenya,2013,Total,44037656,21965375,22072281,100.0,100.0,100.0,99.5
"Custom Region",Kenya,2013,0-4,6714354,3372229,3342125,15.2,15.4,15.1,100.9
"Custom Region",Kenya,2013,5-9,6595823,3309084,3286739,15.0,15.1,14.9,100.7
"Custom Region",Kenya,2013,10-14,5346493,2675771,2670722,12.1,12.2,12.1,100.2
"Custom Region",Kenya,2013,15-19,4254904,2125464,2129440,9.7,9.7,9.6,99.8
"Custom Region",Kenya,2013,20-24,4041145,2022689,2018456,9.2,9.2,9.1,100.2
"Custom Region",Kenya,2013,25-29,3863336,1933288,1930048,8.8,8.8,8.7,100.2
"Custom Region",Kenya,2013,30-34,3432463,1726183,1706280,7.8,7.9,7.7,101.2
"Custom Region",Kenya,2013,35-39,2542825,1310749,1232076,5.8,6.0,5.6,106.4
"Custom Region",Kenya,2013,40-44,1813668,945455,868213,4.1,4.3,3.9,108.9
"Custom Region",Kenya,2013,45-49,1459402,736107,723295,3.3,3.4,3.3,101.8
"Custom Region",Kenya,2013,50-54,1169414,559109,610305,2.7,2.5,2.8,91.6
"Custom Region",Kenya,2013,55-59,906677,413239,493438,2.1,1.9,2.2,83.7
"Custom Region",Kenya,2013,60-64,689155,306135,383020,1.6,1.4,1.7,79.9
"Custom Region",Kenya,2013,65-69,481696,213013,268683,1.1,1.0,1.2,79.3
"Custom Region",Kenya,2013,70-74,337593,148624,188969,0.8,0.7,0.9,78.6
"Custom Region",Kenya,2013,75-79,217457,95377,122080,0.5,0.4,0.6,78.1
"Custom Region",Kenya,2013,80-84,114694,49457,65237,0.3,0.2,0.3,75.8
"Custom Region",Kenya,2013,85-89,44134,18429,25705,0.1,0.1,0.1,71.7
"Custom Region",Kenya,2013,90-94,10877,4368,6509,0.0,0.0,0.0,67.1
"Custom Region",Kenya,2013,95-99,1440,565,875,0.0,0.0,0.0,64.6
"Custom Region",Kenya,2013,100+,106,40,66,0.0,0.0,0.0,60.6
"Custom Region",Kenya,2014,Total,45010056,22450757,22559299,100.0,100.0,100.0,99.5
"Custom Region",Kenya,2014,0-4,6565107,3297052,3268055,14.6,14.7,14.5,100.9
"Custom Region",Kenya,2014,5-9,6702207,3362097,3340110,14.9,15.0,14.8,100.7
"Custom Region",Kenya,2014,10-14,5663464,2835834,2827630,12.6,12.6,12.5,100.3
"Custom Region",Kenya,2014,15-19,4346417,2170491,2175926,9.7,9.7,9.6,99.8
"Custom Region",Kenya,2014,20-24,4053364,2026891,2026473,9.0,9.0,9.0,100.0
"Custom Region",Kenya,2014,25-29,3897065,1950415,1946650,8.7,8.7,8.6,100.2
"Custom Region",Kenya,2014,30-34,3528316,1770390,1757926,7.8,7.9,7.8,100.7
"Custom Region",Kenya,2014,35-39,2717693,1394877,1322816,6.0,6.2,5.9,105.4
"Custom Region",Kenya,2014,40-44,1902351,993188,909163,4.2,4.4,4.0,109.2
"Custom Region",Kenya,2014,45-49,1504221,765425,738796,3.3,3.4,3.3,103.6
"Custom Region",Kenya,2014,50-54,1211553,584370,627183,2.7,2.6,2.8,93.2
"Custom Region",Kenya,2014,55-59,941025,431277,509748,2.1,1.9,2.3,84.6
"Custom Region",Kenya,2014,60-64,720794,320019,400775,1.6,1.4,1.8,79.9
"Custom Region",Kenya,2014,65-69,503347,221704,281643,1.1,1.0,1.2,78.7
"Custom Region",Kenya,2014,70-74,349122,152968,196154,0.8,0.7,0.9,78.0
"Custom Region",Kenya,2014,75-79,225017,98157,126860,0.5,0.4,0.6,77.4
"Custom Region",Kenya,2014,80-84,119441,51174,68267,0.3,0.2,0.3,75.0
"Custom Region",Kenya,2014,85-89,46297,19194,27103,0.1,0.1,0.1,70.8
"Custom Region",Kenya,2014,90-94,11582,4591,6991,0.0,0.0,0.0,65.7
"Custom Region",Kenya,2014,95-99,1560,601,959,0.0,0.0,0.0,62.7
"Custom Region",Kenya,2014,100+,113,42,71,0.0,0.0,0.0,59.2
"Custom Region",Kenya,2015,Total,45925301,22907500,23017801,100.0,100.0,100.0,99.5
"Custom Region",Kenya,2015,0-4,6376220,3202285,3173935,13.9,14.0,13.8,100.9
"Custom Region",Kenya,2015,5-9,6758176,3389526,3368650,14.7,14.8,14.6,100.6
"Custom Region",Kenya,2015,10-14,5950852,2980830,2970022,13.0,13.0,12.9,100.4
"Custom Region",Kenya,2015,15-19,4494168,2243804,2250364,9.8,9.8,9.8,99.7
"Custom Region",Kenya,2015,20-24,4076291,2036695,2039596,8.9,8.9,8.9,99.9
"Custom Region",Kenya,2015,25-29,3924078,1964241,1959837,8.5,8.6,8.5,100.2
"Custom Region",Kenya,2015,30-34,3602483,1806546,1795937,7.8,7.9,7.8,100.6
"Custom Region",Kenya,2015,35-39,2893289,1477051,1416238,6.3,6.4,6.2,104.3
"Custom Region",Kenya,2015,40-44,2008301,1047934,960367,4.4,4.6,4.2,109.1
"Custom Region",Kenya,2015,45-49,1549635,794816,754819,3.4,3.5,3.3,105.3
"Custom Region",Kenya,2015,50-54,1253541,610213,643328,2.7,2.7,2.8,94.9
"Custom Region",Kenya,2015,55-59,978119,451263,526856,2.1,2.0,2.3,85.7
"Custom Region",Kenya,2015,60-64,750697,333512,417185,1.6,1.5,1.8,79.9
"Custom Region",Kenya,2015,65-69,528202,231712,296490,1.2,1.0,1.3,78.2
"Custom Region",Kenya,2015,70-74,361395,157667,203728,0.8,0.7,0.9,77.4
"Custom Region",Kenya,2015,75-79,232723,100937,131786,0.5,0.4,0.6,76.6
"Custom Region",Kenya,2015,80-84,124398,52960,71438,0.3,0.2,0.3,74.1
"Custom Region",Kenya,2015,85-89,48613,20008,28605,0.1,0.1,0.1,69.9
"Custom Region",Kenya,2015,90-94,12307,4819,7488,0.0,0.0,0.0,64.4
"Custom Region",Kenya,2015,95-99,1690,636,1054,0.0,0.0,0.0,60.3
"Custom Region",Kenya,2015,100+,123,45,78,0.0,0.0,0.0,57.7
"Custom Region",Kenya,2016,Total,46790758,23339308,23451450,100.0,100.0,100.0,99.5
"Custom Region",Kenya,2016,0-4,6164579,3096231,3068348,13.2,13.3,13.1,100.9
"Custom Region",Kenya,2016,5-9,6760975,3390273,3370702,14.4,14.5,14.4,100.6
"Custom Region",Kenya,2016,10-14,6198495,3105513,3092982,13.2,13.3,13.2,100.4
"Custom Region",Kenya,2016,15-19,4702938,2348432,2354506,10.1,10.1,10.0,99.7
"Custom Region",Kenya,2016,20-24,4107202,2050122,2057080,8.8,8.8,8.8,99.7
"Custom Region",Kenya,2016,25-29,3947065,1976101,1970964,8.4,8.5,8.4,100.3
"Custom Region",Kenya,2016,30-34,3665546,1837901,1827645,7.8,7.9,7.8,100.6
"Custom Region",Kenya,2016,35-39,3054387,1552090,1502297,6.5,6.7,6.4,103.3
"Custom Region",Kenya,2016,40-44,2131116,1109251,1021865,4.6,4.8,4.4,108.6
"Custom Region",Kenya,2016,45-49,1598900,825648,773252,3.4,3.5,3.3,106.8
"Custom Region",Kenya,2016,50-54,1296225,637120,659105,2.8,2.7,2.8,96.7
"Custom Region",Kenya,2016,55-59,1017295,472868,544427,2.2,2.0,2.3,86.9
"Custom Region",Kenya,2016,60-64,779232,346797,432435,1.7,1.5,1.8,80.2
"Custom Region",Kenya,2016,65-69,555940,242992,312948,1.2,1.0,1.3,77.6
"Custom Region",Kenya,2016,70-74,374507,162739,211768,0.8,0.7,0.9,76.8
"Custom Region",Kenya,2016,75-79,240677,103767,136910,0.5,0.4,0.6,75.8
"Custom Region",Kenya,2016,80-84,129577,54816,74761,0.3,0.2,0.3,73.3
"Custom Region",Kenya,2016,85-89,51064,20865,30199,0.1,0.1,0.1,69.1
"Custom Region",Kenya,2016,90-94,13062,5055,8007,0.0,0.0,0.0,63.1
"Custom Region",Kenya,2016,95-99,1843,679,1164,0.0,0.0,0.0,58.3
"Custom Region",Kenya,2016,100+,133,48,85,0.0,0.0,0.0,56.5
"Custom Region",Kenya,2017,Total,47615739,23750829,23864910,100.0,100.0,100.0,99.5
"Custom Region",Kenya,2017,0-4,5947764,2987574,2960190,12.5,12.6,12.4,100.9
"Custom Region",Kenya,2017,5-9,6713260,3365871,3347389,14.1,14.2,14.0,100.6
"Custom Region",Kenya,2017,10-14,6394120,3203829,3190291,13.4,13.5,13.4,100.4
"Custom Region",Kenya,2017,15-19,4973105,2484357,2488748,10.4,10.5,10.4,99.8
"Custom Region",Kenya,2017,20-24,4147237,2068091,2079146,8.7,8.7,8.7,99.5
"Custom Region",Kenya,2017,25-29,3965287,1984868,1980419,8.3,8.4,8.3,100.2
"Custom Region",Kenya,2017,30-34,3719265,1865300,1853965,7.8,7.9,7.8,100.6
"Custom Region",Kenya,2017,35-39,3194808,1616995,1577813,6.7,6.8,6.6,102.5
"Custom Region",Kenya,2017,40-44,2272366,1178582,1093784,4.8,5.0,4.6,107.8
"Custom Region",Kenya,2017,45-49,1656027,859692,796335,3.5,3.6,3.3,108.0
"Custom Region",Kenya,2017,50-54,1339262,664827,674435,2.8,2.8,2.8,98.6
"Custom Region",Kenya,2017,55-59,1057607,495598,562009,2.2,2.1,2.4,88.2
"Custom Region",Kenya,2017,60-64,807560,360494,447066,1.7,1.5,1.9,80.6
"Custom Region",Kenya,2017,65-69,585382,255081,330301,1.2,1.1,1.4,77.2
"Custom Region",Kenya,2017,70-74,389037,168402,220635,0.8,0.7,0.9,76.3
"Custom Region",Kenya,2017,75-79,248993,106686,142307,0.5,0.4,0.6,75.0
"Custom Region",Kenya,2017,80-84,134975,56748,78227,0.3,0.2,0.3,72.5
"Custom Region",Kenya,2017,85-89,53660,21749,31911,0.1,0.1,0.1,68.2
"Custom Region",Kenya,2017,90-94,13873,5311,8562,0.0,0.0,0.0,62.0
"Custom Region",Kenya,2017,95-99,2005,723,1282,0.0,0.0,0.0,56.4
"Custom Region",Kenya,2017,100+,146,51,95,0.0,0.0,0.0,53.7
"Custom Region",Kiribati,2013,Total,103248,50547,52701,100.0,100.0,100.0,95.9
"Custom Region",Kiribati,2013,0-4,10815,5530,5285,10.5,10.9,10.0,104.6
"Custom Region",Kiribati,2013,5-9,10937,5584,5353,10.6,11.0,10.2,104.3
"Custom Region",Kiribati,2013,10-14,11592,5875,5717,11.2,11.6,10.8,102.8
"Custom Region",Kiribati,2013,15-19,11464,5731,5733,11.1,11.3,10.9,100.0
"Custom Region",Kiribati,2013,20-24,10471,5254,5217,10.1,10.4,9.9,100.7
"Custom Region",Kiribati,2013,25-29,9573,4683,4890,9.3,9.3,9.3,95.8
"Custom Region",Kiribati,2013,30-34,7358,3558,3800,7.1,7.0,7.2,93.6
"Custom Region",Kiribati,2013,35-39,5842,2821,3021,5.7,5.6,5.7,93.4
"Custom Region",Kiribati,2013,40-44,5567,2661,2906,5.4,5.3,5.5,91.6
"Custom Region",Kiribati,2013,45-49,5738,2726,3012,5.6,5.4,5.7,90.5
"Custom Region",Kiribati,2013,50-54,4363,2037,2326,4.2,4.0,4.4,87.6
"Custom Region",Kiribati,2013,55-59,3233,1469,1764,3.1,2.9,3.3,83.3
"Custom Region",Kiribati,2013,60-64,2286,1046,1240,2.2,2.1,2.4,84.4
"Custom Region",Kiribati,2013,65-69,1659,721,938,1.6,1.4,1.8,76.9
"Custom Region",Kiribati,2013,70-74,1111,426,685,1.1,0.8,1.3,62.2
"Custom Region",Kiribati,2013,75-79,733,269,464,0.7,0.5,0.9,58.0
"Custom Region",Kiribati,2013,80-84,356,117,239,0.3,0.2,0.5,49.0
"Custom Region",Kiribati,2013,85-89,123,33,90,0.1,0.1,0.2,36.7
"Custom Region",Kiribati,2013,90-94,25,5,20,0.0,0.0,0.0,25.0
"Custom Region",Kiribati,2013,95-99,2,1,1,0.0,0.0,0.0,100.0
"Custom Region",Kiribati,2013,100+,0,0,0,0.0,0.0,0.0,
"Custom Region",Kiribati,2014,Total,104488,51091,53397,100.0,100.0,100.0,95.7
"Custom Region",Kiribati,2014,0-4,10759,5501,5258,10.3,10.8,9.8,104.6
"Custom Region",Kiribati,2014,5-9,10894,5562,5332,10.4,10.9,10.0,104.3
"Custom Region",Kiribati,2014,10-14,11277,5716,5561,10.8,11.2,10.4,102.8
"Custom Region",Kiribati,2014,15-19,11741,5861,5880,11.2,11.5,11.0,99.7
"Custom Region",Kiribati,2014,20-24,10480,5238,5242,10.0,10.3,9.8,99.9
"Custom Region",Kiribati,2014,25-29,9854,4826,5028,9.4,9.4,9.4,96.0
"Custom Region",Kiribati,2014,30-34,7723,3734,3989,7.4,7.3,7.5,93.6
"Custom Region",Kiribati,2014,35-39,6101,2948,3153,5.8,5.8,5.9,93.5
"Custom Region",Kiribati,2014,40-44,5354,2562,2792,5.1,5.0,5.2,91.8
"Custom Region",Kiribati,2014,45-49,5882,2791,3091,5.6,5.5,5.8,90.3
"Custom Region",Kiribati,2014,50-54,4541,2117,2424,4.3,4.1,4.5,87.3
"Custom Region",Kiribati,2014,55-59,3374,1535,1839,3.2,3.0,3.4,83.5
"Custom Region",Kiribati,2014,60-64,2368,1070,1298,2.3,2.1,2.4,82.4
"Custom Region",Kiribati,2014,65-69,1730,759,971,1.7,1.5,1.8,78.2
"Custom Region",Kiribati,2014,70-74,1135,437,698,1.1,0.9,1.3,62.6
"Custom Region",Kiribati,2014,75-79,745,271,474,0.7,0.5,0.9,57.2
"Custom Region",Kiribati,2014,80-84,373,123,250,0.4,0.2,0.5,49.2
"Custom Region",Kiribati,2014,85-89,125,33,92,0.1,0.1,0.2,35.9
"Custom Region",Kiribati,2014,90-94,30,6,24,0.0,0.0,0.0,25.0
"Custom Region",Kiribati,2014,95-99,1,0,1,0.0,0.0,0.0,0.0
"Custom Region",Kiribati,2014,100+,1,1,0,0.0,0.0,0.0,
"Custom Region",Kiribati,2015,Total,105711,51625,54086,100.0,100.0,100.0,95.4
"Custom Region",Kiribati,2015,0-4,10738,5490,5248,10.2,10.6,9.7,104.6
"Custom Region",Kiribati,2015,5-9,10761,5495,5266,10.2,10.6,9.7,104.3
"Custom Region",Kiribati,2015,10-14,11033,5597,5436,10.4,10.8,10.1,103.0
"Custom Region",Kiribati,2015,15-19,11973,5967,6006,11.3,11.6,11.1,99.4
"Custom Region",Kiribati,2015,20-24,10525,5235,5290,10.0,10.1,9.8,99.0
"Custom Region",Kiribati,2015,25-29,9947,4885,5062,9.4,9.5,9.4,96.5
"Custom Region",Kiribati,2015,30-34,8213,3963,4250,7.8,7.7,7.9,93.2
"Custom Region",Kiribati,2015,35-39,6371,3080,3291,6.0,6.0,6.1,93.6
"Custom Region",Kiribati,2015,40-44,5253,2523,2730,5.0,4.9,5.0,92.4
"Custom Region",Kiribati,2015,45-49,5899,2792,3107,5.6,5.4,5.7,89.9
"Custom Region",Kiribati,2015,50-54,4728,2203,2525,4.5,4.3,4.7,87.2
"Custom Region",Kiribati,2015,55-59,3527,1606,1921,3.3,3.1,3.6,83.6
"Custom Region",Kiribati,2015,60-64,2460,1100,1360,2.3,2.1,2.5,80.9
"Custom Region",Kiribati,2015,65-69,1799,792,1007,1.7,1.5,1.9,78.6
"Custom Region",Kiribati,2015,70-74,1171,454,717,1.1,0.9,1.3,63.3
"Custom Region",Kiribati,2015,75-79,760,273,487,0.7,0.5,0.9,56.1
"Custom Region",Kiribati,2015,80-84,388,126,262,0.4,0.2,0.5,48.1
"Custom Region",Kiribati,2015,85-89,131,38,93,0.1,0.1,0.2,40.9
"Custom Region",Kiribati,2015,90-94,32,6,26,0.0,0.0,0.0,23.1
"Custom Region",Kiribati,2015,95-99,2,0,2,0.0,0.0,0.0,0.0
"Custom Region",Kiribati,2015,100+,0,0,0,0.0,0.0,0.0,
"Custom Region",Kiribati,2016,Total,106925,52154,54771,100.0,100.0,100.0,95.2
"Custom Region",Kiribati,2016,0-4,10735,5488,5247,10.0,10.5,9.6,104.6
"Custom Region",Kiribati,2016,5-9,10601,5413,5188,9.9,10.4,9.5,104.3
"Custom Region",Kiribati,2016,10-14,10916,5537,5379,10.2,10.6,9.8,102.9
"Custom Region",Kiribati,2016,15-19,11989,5979,6010,11.2,11.5,11.0,99.5
"Custom Region",Kiribati,2016,20-24,10743,5306,5437,10.0,10.2,9.9,97.6
"Custom Region",Kiribati,2016,25-29,10016,4927,5089,9.4,9.4,9.3,96.8
"Custom Region",Kiribati,2016,30-34,8606,4157,4449,8.0,8.0,8.1,93.4
"Custom Region",Kiribati,2016,35-39,6627,3201,3426,6.2,6.1,6.3,93.4
"Custom Region",Kiribati,2016,40-44,5280,2545,2735,4.9,4.9,5.0,93.1
"Custom Region",Kiribati,2016,45-49,5794,2736,3058,5.4,5.2,5.6,89.5
"Custom Region",Kiribati,2016,50-54,4937,2297,2640,4.6,4.4,4.8,87.0
"Custom Region",Kiribati,2016,55-59,3684,1682,2002,3.4,3.2,3.7,84.0
"Custom Region",Kiribati,2016,60-64,2579,1145,1434,2.4,2.2,2.6,79.8
"Custom Region",Kiribati,2016,65-69,1852,812,1040,1.7,1.6,1.9,78.1
"Custom Region",Kiribati,2016,70-74,1214,474,740,1.1,0.9,1.4,64.1
"Custom Region",Kiribati,2016,75-79,773,278,495,0.7,0.5,0.9,56.2
"Custom Region",Kiribati,2016,80-84,404,133,271,0.4,0.3,0.5,49.1
"Custom Region",Kiribati,2016,85-89,139,38,101,0.1,0.1,0.2,37.6
"Custom Region",Kiribati,2016,90-94,34,6,28,0.0,0.0,0.1,21.4
"Custom Region",Kiribati,2016,95-99,2,0,2,0.0,0.0,0.0,0.0
"Custom Region",Kiribati,2016,100+,0,0,0,0.0,0.0,0.0,
